;Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
;101     NUC-A       21.600;1;77;0.4050;8.7473;22.8060;884.0749;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;122.1373;281.2319;1.000UN;0.0000;25;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;761.9376;318.7681;;0.0000;0;
;102     NUC-B       21.600;1;77;0.4050;8.7473;22.8060;884.0749;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;122.1373;281.2319;1.000UN;0.0000;25;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;761.9376;318.7681;;0.0000;0;
;151     NUCPANT     500.00;1;1;0.3121;156.0275;15.6388;0.0000;0.0000;0.0000;0.0000;0.0000;58.4270;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-120.4176;-203.2726;1.000LK;0.0000;19;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-120.4176;-203.2726;1.000LK;0.0000;19;1250
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;49.5253;62.0826;;0.0000;21;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;49.5253;62.0826;;0.0000;21;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;66.5070;172.9498;;0.0000;49;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;75.2776;51.0033;;0.0000;0;
;152     MID500      500.00;1;1;0.2025;101.2464;-3.5072;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-47.1988;-45.1390;;0.0000;27;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-47.1988;-45.1390;;0.0000;27;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;51.4171;82.3811;1.009LK;0.0000;4;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;10.6089;97.1028;;0.0000;40;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;4.1073;-125.4443;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;28.2644;36.2384;;0.0000;0;
;153     MID230      230.00;1;1;0.1805;41.5233;-7.5776;0.0000;0.0000;48.2005;20.3657;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-51.4171;-70.6650;1.000UN;0.0000;3;2500
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;8.4385;68.0152;;0.0000;127;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;7.0321;56.5707;;0.0000;105;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;-1.7318;-79.9049;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;-10.5222;5.6184;;0.0000;0;
;154     DOWNTN      230.00;1;1;0.0085;1.9632;-22.1770;0.0000;0.0000;0.9747;0.6589;0.0000;-0.0207;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-1.1986;-3.0191;;0.0000;127;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-0.9988;-2.5162;;0.0000;106;300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-0.2276;-0.9560;;0.0000;58;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;0.0149;0.5840;;0.0000;11;600
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-1.0364;-5.7484;;0.0000;171;400
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;2.4718;11.0176;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Faulted MVA;0.9157;2.2464;;0.0000;0;
;201     HYDRO       500.00;2;2;0.2255;112.7563;8.9570;0.0000;0.0000;0.0000;0.0000;0.0000;-14.4538;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-62.7700;-125.7893;;0.0000;52;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;36.2565;60.7955;;0.0000;26;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  &1;25.0679;122.4790;;0.0000;46;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;211     HYDRO_G     20.000    2  1;-59.3297;-76.4212;1.000LK;0.0000;12;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;60.7754;33.3898;;0.0000;0;
;202     EAST500     500.00;2;2;0.1532;76.5820;-4.0032;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-8.6727;-75.9630;;0.0000;42;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;-34.0327;-40.4286;;0.0000;29;1200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;12.7512;93.5283;1.000LK;0.0000;12;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;29.9542;22.8633;;0.0000;0;
;203     EAST230     230.00;2;2;0.0547;12.5893;-15.6883;0.0000;0.0000;9.6263;4.0673;0.0000;-0.1419;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;0.7574;6.2388;;0.0000;57;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;-11.2319;-31.8085;1.000UN;0.0000;4;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;0.7124;5.8090;;0.0000;53;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  2;0.7124;5.8090;;0.0000;53;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;-0.5766;10.0262;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Faulted MVA;0.7011;2.4962;;0.0000;0;
;205     SUB230      230.00;2;2;0.0063;1.4381;-20.6384;0.0000;0.0000;0.6366;0.3138;0.0000;-0.0111;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;0.0006;-0.4283;;0.0000;11;600
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  &1;-0.4961;-1.9039;1.000UN;0.0000;0;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-0.1385;-0.6556;;0.0000;54;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  2;-0.1385;-0.6556;;0.0000;54;200
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;206     URBGEN      18.000    2  1;-1.2032;-3.9839;1.000LK;0.0000;0;900
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;1.3391;7.3247;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Faulted MVA;0.6264;1.6630;;0.0000;0;
;206     URBGEN      18.000;2;2;0.0948;1.7059;-5.9724;943.0131;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;2.3551;63.0367;1.000UN;0.0000;7;900
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;940.6581;536.9633;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Faulted MVA;0.0000;0.0000;;0.0000;0;
;211     HYDRO_G     20.000;2;2;0.3041;6.0823;19.0958;707.2599;400.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;60.6181;115.5325;1.000UN;0.0000;16;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;646.6418;284.4675;;0.0000;0;
;3001     MINE        230.00;5;5;0.8399;193.1882;-2.5151;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;84.2641;547.4246;1.000LK;0.0000;69;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  1;235.3845;1115.1740;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3011     MINE_G      13.800    5  1;-416.6098;-1663.5820;1.000LK;0.0000;132;1300
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;96.9612;0.9839;;0.0000;0;
;3002     E. MINE     500.00;5;5;0.7420;371.0013;-3.5262;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-82.9596;-482.2010;1.000UN;0.0000;61;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;86.8560;485.0877;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;-3.8964;-2.8867;;0.0000;0;
;3003     S. MINE     230.00;5;5;0.7341;168.8378;-4.2652;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-235.3845;-967.8745;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;107.4509;487.6037;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  2;107.4509;487.6037;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;20.4828;-7.3328;;0.0000;0;
;3004     WEST        500.00;5;5;0.3809;190.4460;-7.1063;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;6.4968;208.2255;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;-60.1275;-247.6620;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;49.7048;32.9666;1.000LK;0.0000;7;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;3.9260;6.4700;;0.0000;0;
;3005     WEST        230.00;5;5;0.3669;84.3868;-10.3655;0.0000;0.0000;67.4423;28.4958;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  1;-79.4285;-238.4327;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  2;-79.4285;-238.4327;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;-49.6067;-28.9821;1.000UN;0.0000;7;800
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;8.9927;161.5114;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  &1;65.1106;174.2697;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;35.7483;147.9656;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;31.1696;-6.3951;;0.0000;0;
;3006     UPTOWN      230.00;5;5;0.2337;53.7589;-8.3798;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;3.6892;103.2635;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;-2.1497;-103.5193;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;-1.5396;0.2558;;0.0000;0;
;3008     CATDOG      230.00;5;5;0.1602;36.8405;-19.1231;0.0000;0.0000;39.8700;12.6344;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;13.6760;108.3512;;0.0000;170;400
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  &1;-10.9227;-52.6695;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;-25.3135;-61.9701;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3018     CATDOG_G    13.800    5  1;-8.0073;-13.1823;1.000LK;0.0000;10;150
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;-9.3024;6.8363;;0.0000;0;
;3011     MINE_G      13.800;5;5;1.0400;14.3520;0.0000;424.9472;2080.4510;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;424.9472;2080.4510;1.000UN;0.0000;163;1300
;3018     CATDOG_G    13.800;5;5;0.2341;3.2305;-8.7079;117.8766;80.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;8.0268;21.0636;1.000UN;0.0000;15;150
;;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;Mismatch;109.8499;58.9364;;0.0000;0;
