Bus Name;Area Number;Zone Number;Volt (PU);Volt (KV);Angle (Deg);Gen MW;Gen MVAR;Load MW;Load MVAR;Shunt MW;Shunt MVAR;To Bus Name;MW;MVAR;Transformer Ratio;Transformer Angle (Deg);Percent;Rating
101     NUC-A       21.600;1;77;1.0200;22.0320;9.7527;750.0001;96.2716;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.9992;96.2716;1.000UN;0.0000;60;1250
102     NUC-B       21.600;1;77;1.0200;22.0320;9.7527;750.0001;96.2716;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;749.9992;96.2716;1.000UN;0.0000;60;1250
151     NUCPANT     500.00;1;1;1.0099;504.9465;4.0861;0.0000;0.0000;0.0000;0.0000;0.0000;611.9302;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;101     NUC-A       21.600    1  1;-748.3505;-21.5308;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;102     NUC-B       21.600    1  1;-748.3505;-21.5308;1.000LK;0.0000;60;1250
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;454.4436;-145.8671;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  2;454.4436;-145.8671;;0.0000;39;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;587.8063;-277.1348;;0.0000;54;1200
152     MID500      500.00;1;1;1.0047;502.3581;-7.7545;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-449.1517;-115.6408;;0.0000;38;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  2;-449.1517;-115.6408;;0.0000;38;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;753.7004;333.0112;1.009LK;0.0000;33;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;98.9310;22.2968;;0.0000;8;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;45.6613;-124.0267;;0.0000;0;
153     MID230      230.00;1;1;0.9794;225.2606;-9.9698;0.0000;0.0000;216.4864;100.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-753.7004;-298.7472;1.000UN;0.0000;32;2500
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;285.1552;113.5379;;0.0000;104;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  2;237.6294;91.4175;;0.0000;87;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;14.4293;-6.2068;;0.0000;0;
154     DOWNTN      230.00;1;1;0.9190;211.3708;-17.7859;0.0000;0.0000;1082.4320;800.0000;0.0000;-253.3701;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-280.1867;-77.8405;;0.0000;105;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  2;-233.4890;-67.6823;;0.0000;88;300
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-128.5606;-58.6223;;0.0000;77;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;-300.5425;-265.5473;;0.0000;73;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;-139.6196;-76.9250;;0.0000;43;400
201     HYDRO       500.00;2;2;1.0400;520.0000;-0.8477;0.0000;0.0000;0.0000;0.0000;0.0000;-324.4799;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;151     NUCPANT     500.00    1  1;-583.9612;208.7210;;0.0000;50;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;550.6630;61.6707;;0.0000;44;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  &1;630.9567;119.3047;;0.0000;51;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;211     HYDRO_G     20.000    2  1;-597.6910;-65.1212;1.000LK;0.0000;75;800
202     EAST500     500.00;2;2;0.9970;498.4901;-8.2882;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-98.8143;-116.0010;;0.0000;13;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;-544.5226;-192.4728;;0.0000;48;1200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;643.3246;308.4735;1.000LK;0.0000;89;800
203     EAST230     230.00;2;2;0.9498;218.4516;-14.5515;0.0000;0.0000;324.7296;150.0000;0.0000;-45.1050;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;129.4835;59.1183;;0.0000;75;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;202     EAST500     500.00    2  1;-641.2762;-225.2555;1.000UN;0.0000;85;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;93.5340;30.6222;;0.0000;52;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  2;93.5340;30.6222;;0.0000;52;200
205     SUB230      230.00;2;2;0.9296;213.8127;-17.1726;0.0000;0.0000;1298.9180;700.0000;0.0000;-259.2581;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;301.1632;264.1205;;0.0000;72;600
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  &1;-616.6784;-171.2607;1.000UN;0.0000;80;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  1;-92.9841;-32.7387;;0.0000;53;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;203     EAST230     230.00    2  2;-92.9841;-32.7387;;0.0000;53;200
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;206     URBGEN      18.000    2  1;-797.3974;-468.1133;1.000LK;0.0000;103;900
206     URBGEN      18.000;2;2;1.0053;18.0963;-10.7172;800.0001;600.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;205     SUB230      230.00    2  1;799.9697;599.9910;1.000UN;0.0000;111;900
211     HYDRO_G     20.000;2;2;1.0643;21.2862;5.7175;600.0001;136.2349;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;201     HYDRO       500.00    2  1;600.0305;136.1396;1.000UN;0.0000;77;800
3001     MINE        230.00;5;5;1.0242;235.5756;-2.8563;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;149.6347;21.7833;1.000LK;0.0000;19;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  1;383.9261;115.7137;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3011     MINE_G      13.800    5  1;-533.5632;-137.4970;1.000LK;0.0000;42;1300
3002     E. MINE     500.00;5;5;1.0208;510.4236;-4.0828;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-149.5694;-18.5139;1.000UN;0.0000;19;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;149.5693;18.5140;;0.0000;0;
3003     S. MINE     230.00;5;5;1.0156;233.5987;-4.5482;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;-383.9261;-103.4523;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;191.9628;51.7262;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  2;191.9628;51.7262;;0.0000;0;
3004     WEST        500.00;5;5;1.0028;501.4006;-8.5298;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;152     MID500      500.00    1  1;-45.5992;-127.2355;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3002     E. MINE     500.00    5  1;-148.2503;-15.8579;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;193.8479;143.0932;1.000LK;0.0000;30;800
3005     WEST        230.00;5;5;0.9793;225.2450;-10.3345;0.0000;0.0000;108.2432;50.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  1;-189.6346;-39.7302;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3003     S. MINE     230.00    5  2;-189.6346;-39.7302;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3004     WEST        500.00    5  1;-193.6169;-133.7123;1.000UN;0.0000;29;800
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3006     UPTOWN      230.00    5  1;-14.4192;-3.2952;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  &1;294.0845;106.9192;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;184.9750;59.5494;;0.0000;0;
3006     UPTOWN      230.00;5;5;0.9798;225.3615;-10.0761;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;153     MID230      230.00    1  1;-14.4269;3.3568;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;14.4268;-3.3568;;0.0000;0;
3008     CATDOG      230.00;5;5;0.9390;215.9740;-15.8613;0.0000;0.0000;216.4864;75.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;154     DOWNTN      230.00    1  1;140.3748;57.1836;;0.0000;40;400
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  &1;-74.3266;-15.5011;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3005     WEST        230.00    5  1;-182.5677;-50.5333;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3018     CATDOG_G    13.800    5  1;-99.9626;-66.1483;1.000LK;0.0000;80;150
3011     MINE_G      13.800;5;5;1.0400;14.3520;0.0000;534.1420;166.4364;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3001     MINE        230.00    5  1;534.1420;166.4364;1.000UN;0.0000;43;1300
3018     CATDOG_G    13.800;5;5;1.0032;13.8441;-10.6948;100.0000;80.0000;0.0000;0.0000;0.0000;-0.0000;;0.0000;0.0000;;0.0000;0;
;0;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3008     CATDOG      230.00    5  1;99.9968;79.9990;1.000UN;0.0000;85;150
